caseid,presvote,partyid,age,fincome,female,white,BushFT,ClintonFT,PerotFT
3001,1,6,31,20,0,White,85,30,0
3002,1,7,89,9,1,White,100,0,0
3003,1,7,35,17,1,White,85,30,60
3005,2,6,27,3,1,Non-White,40,60,60
3006,2,2,54,15,1,White,30,70,50
3007,2,1,45,2,1,Non-White,15,70,50
3009,1,6,35,17,1,White,85,30,0
3011,1,7,33,23,0,White,85,0,0
3012,1,6,32,20,1,White,60,30,30
3013,1,5,69,24,0,White,70,0,15
3014,2,1,67,3,1,Non-White,40,85,60
3016,1,7,83,19,1,White,85,50,40
3017,1,2,62,3,1,White,70,30,30
3018,1,7,39,21,1,White,85,40,60
3022,2,2,43,16,1,White,50,100,100
3023,1,2,66,10,1,White,100,0,0
3024,3,5,71,20,0,White,70,40,30
3026,2,1,71,14,0,White,0,85,50
3027,2,1,77,5,0,White,40,100,70
3028,2,3,65,20,0,White,30,60,0
3029,1,2,81,5,0,White,40,40,50
3030,2,1,34,15,0,Non-White,40,60,30
3031,2,1,60,7,1,White,20,60,50
3032,2,1,34,16,0,Non-White,30,70,40
3035,1,5,83,6,1,White,85,50,0
3037,2,1,58,3,0,White,50,85,10
3038,1,5,38,8,1,White,100,50,70
3039,1,7,51,21,0,White,40,30,60
3040,3,2,58,18,0,White,30,70,50
3041,1,3,79,8,1,White,60,40,70
3042,2,1,67,14,1,White,100,100,60
3043,2,1,71,16,0,White,50,85,0
3045,2,6,30,17,0,White,30,50,50
3049,2,3,18,20,1,White,50,50,15
3050,2,4,77,15,0,White,50,50,0
3052,3,6,63,2,1,White,50,40,60
3054,1,7,53,20,1,White,85,15,40
3056,2,1,69,15,0,White,30,60,0
3057,2,3,44,13,1,White,50,100,50
3058,2,3,49,8,1,White,0,70,0
3061,2,6,51,24,0,White,40,60,50
3062,3,3,45,14,1,White,30,40,60
3063,1,5,28,12,0,White,85,60,50
3065,2,3,44,20,0,White,30,85,60
3066,3,5,39,20,0,White,60,60,15
3067,1,6,32,17,0,White,100,85,100
3068,2,5,18,2,1,White,40,100,50
3073,1,5,38,17,0,White,60,15,0
3077,2,2,78,19,1,Non-White,60,70,15
3079,2,5,58,3,1,Non-White,50,30,40
3081,1,5,34,16,0,White,85,30,60
3082,2,1,51,18,1,White,40,60,0
3083,2,3,39,13,0,White,30,85,60
3084,2,4,23,2,0,White,60,70,40
3087,1,6,69,8,0,White,100,40,15
3089,1,2,45,21,0,White,70,0,85
3090,2,2,25,1,1,White,60,70,50
3091,2,1,19,2,0,Non-White,0,70,40
3092,2,2,71,11,1,White,50,50,50
3093,3,4,63,19,0,White,40,60,100
3094,2,1,45,19,0,White,30,70,100
3095,1,5,65,15,0,White,70,60,60
3098,3,4,33,14,0,White,60,15,85
3100,1,5,33,13,0,White,85,0,50
3102,2,3,19,4,0,White,40,85,30
3105,2,1,37,16,1,White,15,85,70
3107,2,2,34,9,1,Non-White,0,85,50
3108,1,5,71,17,1,White,85,40,0
3110,1,6,37,23,0,White,70,30,30
3112,1,4,52,21,1,White,60,60,50
3113,2,7,49,21,1,White,60,70,50
3119,2,2,33,13,1,Non-White,40,98,50
3123,3,6,38,3,1,White,30,85,0
3125,1,5,51,21,0,White,85,15,50
3127,2,1,31,9,1,Non-White,60,70,50
3128,2,2,76,16,0,White,30,60,70
3129,3,3,32,21,1,White,68,50,38
3130,1,6,49,24,1,White,85,50,50
3131,2,3,66,24,1,White,40,60,30
3132,1,7,31,22,1,White,70,30,40
3133,1,2,34,16,0,Non-White,70,50,0
3134,3,3,37,20,0,White,30,60,70
3135,1,5,39,2,1,White,75,60,50
3136,2,1,33,16,1,Non-White,40,60,30
3137,2,1,25,11,1,White,15,85,30
3138,1,7,64,14,1,White,85,40,40
3143,1,7,34,14,0,White,70,15,0
3146,2,3,54,7,1,White,40,70,85
3147,3,7,67,10,1,White,50,0,85
3149,2,3,42,15,1,White,15,70,0
3151,2,5,32,21,1,White,60,85,0
3153,1,5,30,18,1,White,100,40,30
3154,2,2,57,22,0,Non-White,15,85,50
3155,1,6,54,16,1,White,70,30,0
3156,2,2,51,16,1,White,60,85,40
3157,1,6,30,19,0,White,60,40,60
3158,1,6,80,4,1,White,88,80,80
3159,2,2,53,9,1,White,50,60,60
3160,2,4,20,3,0,White,40,60,70
3162,2,1,37,17,1,White,50,70,50
3163,2,1,21,14,0,Non-White,60,85,70
3164,2,1,69,13,1,White,50,85,50
3166,2,1,23,13,1,White,0,70,50
3167,2,3,38,21,0,White,40,50,50
3168,2,1,62,14,0,White,50,50,0
3169,1,7,63,18,0,White,85,50,15
3172,2,6,69,19,1,White,85,70,30
3174,2,1,36,16,0,White,15,60,70
3175,3,3,36,23,1,White,0,0,100
3177,1,5,23,16,0,White,70,40,30
3178,2,4,71,16,1,White,30,85,100
3181,2,3,39,5,0,White,0,100,15
3183,1,7,58,21,1,White,100,0,30
3184,2,3,40,2,0,White,0,60,100
3185,1,7,50,20,0,White,100,60,60
3186,3,4,65,17,0,White,0,15,40
3187,2,2,44,19,1,White,15,60,0
3188,2,1,67,8,1,White,50,100,0
3189,1,6,72,6,1,White,60,50,40
3191,1,5,56,16,0,Non-White,70,60,51
3192,2,2,43,21,1,White,30,85,60
3195,1,5,32,18,0,Non-White,30,30,0
3198,2,1,80,6,1,Non-White,40,70,30
3199,2,1,41,19,1,White,0,100,15
3200,3,4,33,17,0,White,70,40,85
3202,3,1,20,1,1,White,60,70,60
3203,2,1,80,8,0,Non-White,20,60,50
3204,2,2,25,16,1,White,0,85,60
3205,2,4,43,15,0,White,15,60,50
3206,3,6,22,4,1,White,70,50,0
3209,3,2,23,18,0,Non-White,15,70,0
3211,2,2,31,21,1,White,50,85,15
3212,3,2,52,16,0,White,60,60,85
3213,2,2,39,11,1,White,15,60,15
3215,2,4,34,15,0,White,10,30,40
3218,1,6,74,11,1,White,100,0,0
3220,2,1,29,15,1,Non-White,0,100,0
3222,1,5,37,22,1,White,60,40,15
3223,2,3,28,18,1,White,60,60,50
3225,3,6,58,24,0,White,60,85,85
3226,2,1,36,7,1,White,50,50,60
3227,3,2,33,14,1,White,60,70,60
3229,2,1,60,8,1,White,70,85,50
3230,1,7,35,15,1,White,100,50,50
3231,2,2,28,18,0,White,40,70,60
3232,2,3,36,1,0,White,0,70,30
3233,3,6,23,14,0,White,60,60,40
3234,1,5,49,21,1,White,80,50,20
3235,2,6,42,21,0,White,40,60,50
3236,2,2,68,9,0,White,40,70,15
3238,2,1,73,8,1,White,25,75,50
3240,2,2,30,15,1,White,30,60,85
3242,1,4,70,8,0,White,50,50,15
3243,2,2,22,22,0,White,30,60,50
3245,2,3,40,12,0,White,15,70,85
3246,2,4,84,8,1,White,60,70,50
3247,1,6,52,21,0,White,100,60,70
3250,1,7,68,23,1,White,85,15,60
3252,3,7,49,21,1,White,100,50,100
3255,2,1,55,16,1,White,50,85,60
3257,2,1,65,3,1,White,30,70,0
3258,3,5,41,16,0,White,70,60,30
3259,1,6,26,15,0,White,70,50,15
3261,1,6,31,21,1,Non-White,60,40,0
3262,3,4,81,13,0,White,50,50,70
3264,1,7,80,5,0,White,100,70,50
3265,2,1,45,5,0,White,30,100,85
3266,1,6,28,20,1,White,85,50,50
3267,1,6,58,20,0,White,85,30,30
3271,3,3,44,21,0,White,0,70,70
3272,1,4,18,14,1,White,60,60,50
3273,2,4,22,6,1,Non-White,30,100,0
3275,2,1,82,11,1,White,0,85,0
3276,2,1,34,2,1,Non-White,0,70,0
3277,2,1,69,6,1,Non-White,0,50,0
3278,1,6,30,18,1,White,85,85,15
3279,1,7,64,12,1,White,100,0,0
3281,2,2,38,4,1,White,40,60,30
3283,2,1,71,3,0,White,40,85,50
3284,1,7,63,12,1,White,60,15,50
3285,3,6,83,12,1,White,30,30,30
3287,1,2,22,16,0,White,70,85,15
3289,1,6,40,19,0,White,40,30,15
3290,2,3,54,18,1,White,30,70,15
3295,2,3,52,24,1,White,15,65,15
3298,1,6,32,20,1,White,70,40,60
3300,1,5,78,22,1,White,70,30,60
3302,2,3,26,15,0,Non-White,60,85,60
3303,2,6,29,11,1,White,30,70,50
3304,3,6,33,15,1,White,40,60,70
3305,2,6,31,13,0,White,60,60,60
3308,2,6,81,22,0,White,15,70,30
3309,2,3,39,14,1,White,60,80,60
3310,2,1,84,11,0,White,50,100,70
3311,1,6,35,17,1,White,100,40,30
3312,2,1,44,18,0,White,40,70,30
3314,1,7,39,20,1,White,100,30,0
3315,2,1,37,21,0,White,0,100,85
3316,1,5,37,11,0,White,65,70,22
3318,1,4,32,12,1,Non-White,50,50,60
3321,1,7,79,8,0,White,85,70,50
3322,2,1,68,7,0,White,0,85,85
3323,1,5,48,21,1,White,60,0,40
3324,1,5,52,18,1,White,60,15,0
3327,2,2,63,5,1,White,30,60,15
3328,2,3,61,24,0,White,70,85,50
3329,1,6,87,21,1,White,60,50,40
3331,2,3,23,8,0,White,0,15,30
3332,2,6,34,21,0,White,70,70,0
3336,1,7,54,20,1,White,85,60,50
3337,3,4,26,17,1,White,70,40,50
3340,3,6,31,20,1,White,85,40,0
3342,1,5,73,8,1,White,60,60,60
3344,1,7,35,17,0,White,85,15,50
3345,1,7,41,17,0,White,85,40,50
3347,1,5,46,20,0,White,100,15,30
3348,1,4,65,14,1,White,70,40,0
3350,1,6,57,21,0,White,60,30,15
3351,2,1,36,15,0,White,40,100,60
3352,1,5,68,8,1,White,70,50,30
3353,2,2,38,18,0,Non-White,30,70,15
3355,2,1,70,5,1,White,15,100,50
3356,3,5,46,13,1,White,40,30,70
3357,1,2,32,14,1,White,70,40,30
3358,3,6,46,22,0,White,70,30,70
3359,3,7,35,23,1,White,60,10,80
3361,1,7,83,21,1,White,100,70,70
3364,1,1,34,21,0,White,60,30,70
3365,2,2,52,21,1,Non-White,30,85,15
3368,2,2,33,15,1,White,30,85,85
3369,3,5,43,21,1,White,60,50,85
3370,1,5,33,18,1,White,85,40,30
3371,1,7,78,20,0,White,100,30,0
3372,1,7,51,21,0,White,75,25,35
3373,2,1,31,17,0,White,0,70,60
3376,2,2,40,24,1,White,30,85,70
3378,3,1,35,18,1,White,30,60,60
3379,1,7,82,2,1,White,100,50,50
3381,1,5,28,20,0,White,70,0,50
3383,2,1,43,18,0,White,30,85,60
3384,3,5,51,21,1,White,40,60,70
3385,1,7,55,13,0,White,85,0,60
3386,1,4,65,13,1,White,70,50,50
3387,1,5,40,22,0,White,85,0,60
3388,2,2,51,21,1,White,60,70,0
3389,3,2,60,21,1,White,30,70,15
3390,3,3,28,20,0,White,15,50,70
3391,1,6,24,16,1,White,70,0,40
3393,1,6,30,16,0,White,85,40,85
3394,1,6,37,16,0,White,60,15,15
3401,3,5,32,21,0,White,60,50,50
3402,3,3,22,10,1,White,50,65,80
3403,1,5,46,18,0,White,70,60,70
3404,1,1,48,20,1,Non-White,0,70,50
3406,2,3,40,16,1,Non-White,50,85,50
3408,1,6,31,11,0,White,100,70,72
3409,2,2,33,17,1,White,40,60,15
3410,2,1,53,19,1,White,40,100,30
3411,3,2,50,21,0,White,60,60,85
3412,1,5,51,19,0,White,85,40,40
3413,1,5,23,8,1,White,60,50,70
3414,1,2,53,13,1,White,50,50,50
3415,2,1,59,2,1,White,60,60,0
3417,2,3,43,24,1,White,50,85,30
3418,1,6,29,24,1,White,70,15,85
3421,2,2,74,11,0,White,10,60,60
3422,2,1,26,17,1,White,30,85,60
3423,2,1,53,20,1,White,72,85,70
3424,2,5,40,24,1,White,30,85,85
3425,2,1,58,22,1,White,15,85,25
3426,3,3,32,20,1,White,60,60,85
3427,3,7,53,9,0,White,40,50,60
3428,2,2,37,21,1,Non-White,0,60,40
3429,1,7,39,19,0,White,85,0,0
3430,2,2,29,21,0,Non-White,60,60,50
3431,1,2,35,20,0,White,85,40,0
3433,1,7,27,18,1,White,70,0,30
3434,1,6,65,21,0,White,70,30,15
3435,2,4,47,16,0,White,70,60,50
3436,2,3,29,19,1,White,30,85,60
3437,2,2,65,12,0,White,40,60,40
3438,2,2,38,21,1,White,15,40,0
3439,1,5,55,24,1,White,60,35,60
3440,1,6,20,3,1,White,85,30,15
3441,3,6,68,16,0,White,85,60,50
3444,1,6,39,21,0,White,60,30,0
3445,2,1,23,1,1,Non-White,0,60,0
3446,2,1,46,9,1,Non-White,50,60,50
3447,3,3,27,16,0,White,0,70,100
3449,3,2,23,19,0,White,40,60,50
3451,3,3,30,20,0,White,60,70,70
3455,2,4,55,19,1,White,60,40,85
3456,2,2,22,13,1,White,40,70,30
3460,2,1,48,17,1,White,0,25,0
3461,2,5,18,13,1,White,50,70,40
3462,1,7,31,22,0,White,70,40,50
3464,1,7,64,21,0,White,100,50,0
3466,3,5,53,13,1,White,50,10,75
3467,1,5,20,15,0,White,15,50,70
3471,2,1,37,15,1,White,15,85,40
3473,2,4,48,15,1,Non-White,50,85,70
3476,1,6,51,22,0,White,60,30,60
3477,3,5,37,17,1,White,40,60,15
3478,1,6,53,19,1,White,60,30,70
3479,1,7,74,19,1,White,70,0,0
3481,1,7,34,20,0,White,70,30,30
3482,1,6,43,22,0,White,85,60,70
3484,1,6,26,9,0,White,70,0,85
3485,2,2,67,15,1,White,50,70,30
3486,2,3,31,4,0,White,30,70,40
3489,1,7,51,20,0,White,85,0,0
3490,2,2,47,13,0,Non-White,50,60,40
3491,2,2,71,14,1,White,40,85,60
3492,1,5,47,17,1,White,70,10,50
3495,2,3,29,19,0,White,0,60,30
3499,1,7,21,15,0,White,85,0,0
3502,2,1,57,6,1,Non-White,15,85,60
3503,1,6,37,17,1,White,85,40,30
3505,2,2,57,11,0,White,60,70,50
3507,1,4,37,21,1,Non-White,70,85,50
3508,1,7,20,2,1,White,90,30,85
3509,2,2,39,7,0,White,30,60,50
3510,3,6,25,10,0,White,70,60,50
3511,1,7,35,10,1,White,85,15,40
3513,2,2,44,16,0,White,50,70,60
3514,1,7,31,18,0,White,80,40,40
3515,1,5,72,18,0,White,85,50,60
3516,2,1,26,6,1,Non-White,15,70,0
3517,1,5,34,17,1,White,70,40,15
3522,2,3,20,9,1,White,85,85,100
3523,2,1,71,11,0,White,30,85,50
3524,2,3,53,19,0,Non-White,15,60,0
3525,2,1,35,19,1,Non-White,30,50,30
3526,1,6,36,20,1,White,85,40,0
3527,1,6,81,15,0,White,60,50,30
3529,2,3,21,6,1,Non-White,30,70,70
3531,2,6,27,21,1,White,70,60,50
3532,1,5,30,22,0,White,85,40,0
3533,3,4,28,21,1,White,85,40,70
3534,2,3,46,20,1,White,0,60,60
3535,1,7,72,11,0,White,85,70,30
3536,1,5,41,14,0,Non-White,70,60,40
3537,2,2,65,16,1,White,15,70,70
3538,2,6,30,21,1,White,25,75,5
3540,1,5,33,16,0,White,100,15,0
3543,2,2,55,20,1,White,40,60,15
3545,3,5,43,21,0,White,40,30,60
3546,1,4,42,24,0,White,85,30,30
3549,2,2,38,21,1,White,85,85,85
3550,1,7,46,15,1,White,85,15,15
3551,1,7,75,16,1,White,100,30,50
3552,3,3,74,11,1,White,40,60,70
3553,1,7,38,12,0,White,100,10,5
3555,1,4,36,18,1,White,50,50,50
3558,1,7,57,17,1,White,85,30,15
3559,3,4,52,19,0,White,85,50,100
3561,2,3,44,22,1,White,30,60,0
3562,2,1,21,14,1,Non-White,50,70,50
3564,2,4,29,16,0,Non-White,60,85,100
3565,2,3,49,23,1,White,40,70,40
3566,2,3,40,21,1,White,40,60,30
3567,1,5,37,19,1,White,70,30,50
3568,2,2,42,19,0,White,15,60,30
3570,2,6,19,21,0,White,70,100,85
3571,1,7,18,20,0,White,100,50,60
3572,2,2,64,13,1,White,60,85,60
3573,2,1,42,18,1,White,15,70,0
3574,1,6,32,20,1,White,70,50,30
3575,1,5,26,19,1,White,60,0,30
3576,3,3,41,17,0,White,70,70,80
3577,2,7,59,20,0,White,0,60,50
3580,2,1,20,6,0,Non-White,50,85,60
3581,2,2,31,16,1,White,40,85,85
3583,2,1,46,20,0,White,0,100,60
3584,2,2,26,20,0,Non-White,50,60,70
3588,2,2,33,12,1,Non-White,40,85,50
3590,1,2,37,12,1,White,70,15,100
3592,1,7,60,11,0,White,100,0,0
3594,2,2,32,17,0,White,0,70,0
3595,1,5,85,19,0,White,100,85,85
3596,2,2,46,20,1,Non-White,60,70,30
3597,3,3,29,13,0,White,30,70,60
3598,2,5,27,17,1,White,30,40,15
3599,3,5,40,22,0,White,40,15,50
3600,1,7,29,16,0,White,70,15,60
3603,3,6,34,12,0,White,40,15,60
3605,3,4,48,21,0,White,50,60,100
3606,1,6,68,15,1,White,60,60,60
3607,3,3,42,7,1,White,15,85,70
3608,1,7,27,16,0,White,85,30,60
3612,2,1,29,16,1,White,15,85,40
3614,1,5,53,19,0,White,60,40,50
3615,2,2,43,18,0,White,60,85,40
3616,2,3,24,11,0,White,30,85,0
3618,2,1,50,23,0,White,45,70,48
3619,2,1,43,12,1,Non-White,60,85,60
3622,3,6,22,12,0,White,70,60,70
3624,2,4,54,21,0,White,40,50,50
3626,2,2,45,24,1,White,60,50,60
3627,1,5,46,21,1,Non-White,50,30,50
3628,2,3,28,8,0,White,50,70,0
3629,1,7,68,5,0,White,100,0,0
3630,2,1,55,17,1,Non-White,50,100,15
3631,2,2,71,20,0,White,50,70,60
3632,2,1,36,16,0,White,40,80,50
3634,2,1,19,11,1,White,0,90,10
3636,3,4,45,14,0,White,15,70,100
3637,3,4,42,14,0,White,20,30,80
3638,1,5,33,16,0,White,70,30,30
3639,1,5,30,17,0,White,70,15,85
3640,3,3,26,20,0,White,40,60,85
3641,1,7,32,22,0,White,70,50,40
3644,3,7,35,24,1,White,60,40,70
3645,2,2,23,24,1,White,40,70,30
3646,2,3,43,24,0,White,40,50,30
3647,3,4,22,21,1,White,60,85,70
3648,2,3,48,18,0,White,30,70,50
3650,2,2,40,18,1,White,15,85,60
3651,3,5,28,21,0,White,70,70,100
3653,1,7,36,20,0,White,70,0,60
3654,1,6,36,20,0,White,70,40,60
3655,2,4,22,13,1,White,50,60,60
3656,1,2,60,21,0,White,100,30,50
3657,2,3,37,17,1,White,0,100,70
3661,1,7,38,22,1,White,70,15,60
3662,1,5,25,13,0,Non-White,60,40,15
3663,3,3,28,20,1,White,15,60,85
3664,2,2,40,16,0,Non-White,40,60,0
3665,1,6,59,19,1,White,85,70,60
3666,1,7,35,11,1,White,85,80,0
3667,2,3,49,21,0,White,0,70,40
3670,1,7,27,9,1,White,85,15,70
3671,2,3,45,21,1,White,50,70,50
3672,1,5,33,11,1,White,70,60,0
3673,2,3,31,12,0,White,15,85,40
3674,3,3,22,19,1,White,50,15,50
3676,1,6,35,21,1,White,70,30,50
3677,2,3,51,16,0,White,50,70,30
3678,1,7,34,20,0,White,60,40,50
3679,2,3,47,24,1,White,30,70,40
3680,1,5,68,24,0,White,70,50,40
3681,2,3,28,18,0,White,30,70,0
3682,3,5,51,21,0,White,80,80,100
3683,1,7,27,17,1,White,70,40,60
3684,1,4,31,23,0,White,85,0,0
3685,2,4,30,19,1,White,70,70,70
3687,3,3,29,15,0,White,70,30,85
3688,3,2,25,13,0,Non-White,50,70,85
3689,3,5,28,20,0,White,50,0,80
3690,3,3,44,18,0,White,15,50,60
3691,3,3,36,18,1,White,30,70,85
3693,2,3,46,12,1,White,40,50,0
3694,2,1,18,17,1,White,30,70,60
3695,3,4,26,13,0,White,35,10,75
3696,2,3,20,4,1,White,50,85,70
3697,2,2,39,20,1,White,15,70,15
3698,1,5,35,6,0,Non-White,85,60,50
3699,2,1,21,15,1,White,40,60,50
3701,3,2,39,20,1,Non-White,15,30,30
3703,2,3,33,15,0,White,60,85,50
3706,2,2,30,15,0,White,60,70,60
3708,3,3,34,19,1,White,60,85,30
3709,1,4,61,10,1,Non-White,70,60,50
3710,1,4,36,8,0,White,60,40,40
3712,1,7,41,21,0,White,85,30,40
3715,3,2,70,13,1,White,60,70,40
3716,1,7,31,18,0,Non-White,70,60,85
3718,1,7,38,20,0,White,60,40,40
3719,1,6,55,3,0,Non-White,50,50,50
3720,2,1,58,16,0,White,50,70,30
3721,1,2,36,20,1,White,50,50,0
3724,3,6,72,18,0,White,70,40,85
3728,1,7,78,11,1,White,100,40,40
3729,1,1,28,21,1,White,60,85,50
3731,3,5,32,21,1,White,15,15,60
3732,2,1,65,3,0,White,30,50,15
3733,3,6,35,21,0,White,40,15,60
3734,1,5,34,21,0,White,85,85,40
3735,1,7,41,21,1,White,100,0,30
3736,1,5,48,22,1,Non-White,85,50,100
3737,2,6,33,18,0,White,15,60,50
3739,3,5,51,20,0,White,60,50,40
3741,2,1,49,12,1,White,40,60,0
3742,3,5,25,21,1,White,85,70,85
3745,2,4,35,23,1,White,40,60,60
3746,2,4,36,12,0,White,49,50,40
3747,3,5,21,15,1,White,60,70,70
3748,3,2,52,17,0,White,40,40,10
