id,country,durat,ciep12,fract,polar,format,invest,numst2,eltime2,caretk2
1,1,.5,1,656,11,3,1,0,1,0
2,1,3,1,656,11,2,1,1,0,0
3,1,7,1,656,11,5,1,1,0,0
4,1,20,1,656,11,2,1,1,0,0
5,1,6,1,656,11,3,1,1,0,0
6,1,7,1,634,6,4,1,1,1,0
7,1,2,1,599,3,1,1,1,1,0
8,1,17,1,599,3,3,1,1,0,0
9,1,27,1,599,3,1,1,1,0,0
10,1,49,0,620,2,1,1,1,1,0
11,1,4,1,592,1,2,1,0,1,0
12,1,29,1,592,1,1,1,1,0,0
13,1,49,0,628,5,1,1,1,1,0
14,1,6,1,719,11,4,1,1,1,0
15,1,23,1,719,11,5,1,1,0,0
16,1,41,0,757,18,5,1,1,1,0
17,1,10,1,775,24,3,1,1,1,0
18,1,12,1,775,24,1,1,1,0,0
19,1,2,1,762,24,5,1,0,1,0
20,1,33,1,762,24,1,1,1,0,0
21,1,1,1,762,24,2,1,0,0,1
22,1,16,1,735,17,2,1,1,1,0
23,1,2,1,753,17,1,1,1,0,1
24,1,9,1,850,17,8,1,1,1,0
25,1,3,1,850,17,1,1,1,0,0
26,1,5,1,850,17,2,1,1,0,0
27,1,5,1,850,17,2,1,1,0,0
28,1,6,1,850,17,1,1,1,0,0
29,1,45,0,868,15,4,1,1,1,0
30,1,23,1,857,9,1,1,1,1,0
31,2,41,1,648,1,1,0,0,1,0
32,2,7,1,648,1,1,0,1,0,0
33,2,49,0,428,0,1,0,1,1,0
34,2,46,1,536,0,1,0,1,1,0
35,2,9,1,650,0,1,0,0,1,0
36,2,51,0,349,0,1,0,1,1,0
37,2,10,1,648,0,1,0,0,1,0
38,2,32,1,622,0,1,0,0,1,0
39,2,28,1,614,0,1,0,0,1,0
40,2,3,1,614,0,1,0,0,1,0
41,2,53,0,571,0,1,0,1,1,0
42,2,17,1,648,0,1,0,0,1,0
43,2,59,0,583,0,1,0,1,1,0
44,2,9,1,602,0,1,0,0,1,0
45,2,52,0,582,0,1,0,1,1,0
46,2,3,1,582,0,1,0,1,0,0
47,3,23,1,777,12,3,0,0,1,0
48,3,33,1,719,6,1,0,0,1,0
49,3,1,1,749,5,5,0,0,1,0
50,3,30,1,749,5,1,0,0,0,0
51,3,5,1,740,5,1,0,0,1,0
52,3,16,1,725,5,3,0,0,1,0
53,3,27,1,725,5,1,0,0,0,0
54,3,33,1,735,3,1,0,1,1,0
55,3,9,1,735,3,1,0,1,0,0
56,3,22,1,722,6,1,0,0,1,0
57,3,25,1,722,6,1,0,0,0,0
58,3,25,1,715,6,8,0,0,1,0
59,3,14,1,748,11,4,0,0,1,0
60,3,44,0,764,9,1,0,1,1,0
61,3,12,1,746,10,2,0,0,1,0
62,3,14,1,746,10,1,0,0,0,0
63,3,13,1,855,26,4,0,0,1,0
64,3,24,1,815,25,4,0,0,1,0
65,3,18,1,811,26,2,0,0,1,0
66,3,13,1,811,26,1,0,0,0,0
67,3,29,1,791,21,1,0,0,1,0
68,3,8,1,817,21,2,0,0,1,0
69,3,16,1,817,24,2,0,0,0,0
70,3,43,0,802,18,1,0,0,1,0
71,4,28,1,791,25,1,0,1,0,0
72,4,19,1,780,19,3,0,0,1,0
73,4,10,1,780,19,2,0,0,0,0
74,4,2,1,780,19,1,0,1,0,0
75,4,21,1,791,22,1,0,1,1,0
76,4,4,1,791,22,2,0,0,0,0
77,4,5,1,788,22,3,0,1,1,0
78,4,16,1,788,22,1,0,1,0,0
79,4,15,1,788,22,1,0,1,0,0
80,4,1,1,788,22,1,0,0,0,0
81,4,2,1,788,22,1,0,0,0,0
82,4,2,1,788,22,1,0,0,0,0
83,4,3,1,795,25,5,0,1,1,0
84,4,30,1,795,25,2,0,0,0,0
85,4,8,1,795,25,1,0,0,0,0
86,4,20,1,803,24,3,0,1,1,0
87,4,19,1,803,24,2,0,1,0,0
88,4,21,1,799,21,2,0,1,1,0
89,4,24,1,799,21,3,0,1,0,0
90,4,8,1,821,27,3,0,1,0,0
91,4,7,1,821,27,1,0,1,0,0
92,4,5,1,818,28,3,0,0,1,0
93,4,33,1,818,28,3,0,1,0,0
94,4,10,1,812,21,3,0,1,1,0
95,4,7,1,812,21,1,0,0,0,1
96,4,9,1,812,21,1,0,1,0,0
97,4,13,1,812,21,2,0,1,0,0
98,4,32,1,808,21,3,0,1,1,0
99,4,11,1,808,21,1,0,1,0,0
100,4,3,1,808,21,1,0,0,0,1
101,4,47,0,805,22,1,0,1,1,0
102,5,5,1,788,28,1,1,1,1,0
103,5,1,1,788,31,6,1,0,1,1
104,5,3,1,788,31,2,1,1,0,0
105,5,5,1,788,31,1,1,1,0,0
106,5,1,1,788,31,1,1,1,0,0
107,5,8,1,788,31,4,1,1,0,0
108,5,1,1,788,31,1,1,1,0,0
109,5,.5,1,788,31,3,1,1,0,0
110,5,13,1,788,31,2,1,1,0,0
111,5,3,1,788,31,3,1,1,0,0
112,5,5,1,788,31,1,1,0,0,0
113,5,.5,1,788,31,5,1,0,0,0
114,5,7,1,788,31,3,1,1,0,0
115,5,4,1,788,31,5,1,1,0,0
116,5,5,1,842,27,6,1,0,1,0
117,5,1,1,842,27,5,1,0,0,0
118,5,10,1,842,27,3,1,0,0,0
119,5,4,1,842,27,4,1,0,0,0
120,5,11,1,842,27,8,1,1,0,0
121,5,7,1,842,27,1,1,1,0,0
122,5,.5,1,842,27,3,1,0,0,0
123,5,11,1,842,27,1,1,1,0,0
124,5,16,1,839,38,2,1,0,1,0
125,5,4,1,839,38,6,1,0,0,0
126,5,.5,1,839,38,3,1,0,0,0
127,5,.5,1,839,38,2,1,0,0,0
128,5,5,1,839,38,1,1,1,0,0
129,5,.5,1,839,38,6,1,1,0,0
130,5,4,1,839,38,1,1,1,0,0
131,6,33,1,722,19,1,0,1,0,0
132,6,40,0,712,17,1,0,1,0,0
133,6,34,1,709,14,1,0,1,1,0
134,6,28,1,712,15,1,0,1,1,0
135,6,11,1,712,15,1,0,0,0,0
136,6,5,1,687,14,1,0,0,1,0
137,6,43,0,710,17,1,0,1,1,0
138,6,5,1,699,15,1,0,1,1,0
139,6,43,0,699,15,1,0,1,0,0
140,6,37,0,718,15,1,0,1,1,0
141,6,8,1,718,15,1,0,1,0,0
142,6,36,1,740,17,1,0,1,1,0
143,6,46,0,704,18,3,0,1,1,0
144,6,13,1,761,23,1,0,1,1,0
145,6,2,1,761,23,1,0,0,0,0
146,6,39,0,736,18,5,0,1,1,0
147,6,48,0,754,17,4,0,1,1,0
148,7,40,1,724,0,1,1,0,1,0
149,7,35,1,692,0,2,1,0,1,0
150,7,34,1,671,0,2,1,1,1,0
151,7,27,1,636,3,1,1,1,1,0
152,7,28,1,636,3,1,1,1,0,0
153,7,42,1,645,0,1,1,0,1,0
154,7,19,1,620,0,1,1,1,1,0
155,7,32,1,620,0,1,1,1,0,0
156,7,44,1,593,0,1,1,1,1,0
157,7,52,0,612,0,2,1,1,1,0
158,7,29,1,580,0,1,1,1,1,0
159,7,18,1,580,0,1,1,1,0,0
160,7,7,1,582,0,2,1,0,1,0
161,7,8,1,609,0,1,1,0,1,0
162,7,48,1,608,0,1,1,1,1,0
163,8,11,1,802,11,2,1,1,1,0
164,8,3,1,802,11,1,1,1,0,1
165,8,12,1,802,11,3,1,1,0,0
166,8,18,1,802,11,2,1,1,0,0
167,8,4,1,802,11,1,1,1,0,1
168,8,6,1,834,18,1,1,1,0,0
169,8,16,1,834,18,1,1,1,0,0
170,8,13,1,797,16,2,1,1,1,0
171,8,17,1,814,18,5,1,1,1,0
172,8,18,1,814,18,1,1,1,0,0
173,8,10,1,814,18,1,1,1,0,0
174,8,17,1,789,5,1,1,1,1,0
175,8,21,1,789,5,1,1,1,0,0
176,8,8,1,789,5,1,1,1,0,0
177,8,8,1,721,5,1,1,1,1,0
178,8,41,0,721,5,1,1,1,0,0
179,8,1,1,702,8,3,1,1,1,0
180,8,5,1,702,8,2,1,1,0,0
181,8,26,1,702,8,2,1,1,0,0
182,8,4,1,771,11,3,1,0,1,0
183,8,44,0,771,11,1,1,1,0,0
184,8,25,1,680,5,1,1,0,1,0
185,8,9,1,680,5,1,1,0,0,0
186,8,25,1,741,6,1,1,1,1,0
187,9,2,1,652,36,1,1,1,0,0
188,9,14,1,652,36,2,1,1,0,0
189,9,3,1,652,36,1,1,1,0,0
190,9,23,1,652,36,2,1,1,0,0
191,9,.5,1,718,36,4,1,0,1,0
192,9,5,1,718,36,2,1,0,0,1
193,9,.5,1,718,36,2,1,0,0,0
194,9,16,1,718,36,2,1,1,0,0
195,9,22,1,718,36,2,1,1,0,0
196,9,13,1,718,36,2,1,0,0,0
197,9,7,1,710,32,2,1,0,1,0
198,9,12,1,710,32,2,1,0,0,0
199,9,4,1,710,32,4,1,0,0,0
200,9,19,1,710,32,1,1,0,0,0
201,9,15,1,710,32,1,1,1,0,0
202,9,5,1,733,32,2,1,0,1,1
203,9,7,1,733,32,1,1,1,0,0
204,9,18,1,733,32,2,1,1,0,0
205,9,27,1,733,32,2,1,1,0,0
206,9,5,1,717,37,2,1,0,1,1
207,9,7,1,717,37,1,1,1,0,0
208,9,6,1,717,37,2,1,0,0,0
209,9,3,1,717,37,4,1,1,0,0
210,9,7,1,717,37,2,1,1,0,0
211,9,10,1,717,37,1,1,1,0,0
212,9,.5,1,717,37,3,1,0,0,1
213,9,12,1,719,37,2,1,1,1,0
214,9,8,1,719,37,1,1,1,0,0
215,9,7,1,719,37,1,1,1,0,0
216,9,14,1,719,37,3,1,0,0,0
217,9,3,1,719,37,3,1,0,0,0
218,9,18,1,683,43,2,1,0,1,0
219,9,11,1,683,43,2,1,0,0,0
220,9,.5,1,683,43,3,1,0,0,1
221,9,8,1,710,38,4,1,0,1,0
222,9,6,1,710,38,1,1,1,0,0
223,9,7,1,710,38,1,1,1,0,0
224,9,13,1,710,38,2,1,1,0,0
225,9,3,1,710,38,1,1,1,0,0
226,9,5,1,710,38,2,1,1,0,0
227,9,45,1,751,39,2,1,1,1,0
228,10,30,1,786,8,3,0,1,1,0
229,10,15,1,786,8,6,0,1,0,0
230,10,46,0,785,6,3,0,1,1,0
231,10,26,1,754,5,8,0,1,1,0
232,10,3,1,754,5,1,0,1,0,1
233,10,48,0,759,3,2,0,1,1,0
234,10,19,1,778,8,4,0,1,1,0
235,10,18,1,778,8,2,0,1,0,0
236,10,3,1,778,8,2,0,0,0,1
237,10,49,0,825,16,2,0,1,1,0
238,10,13,1,844,15,2,0,1,1,0
239,10,4,1,844,15,2,0,0,0,0
240,10,46,0,844,9,2,0,1,1,0
241,10,41,0,730,3,7,0,1,1,0
242,10,8,1,767,5,5,0,1,1,0
243,10,3,1,767,5,1,0,0,0,1
244,10,43,0,751,5,3,0,1,1,0
245,11,47,0,685,7,1,0,1,1,0
246,11,25,1,626,0,1,0,1,1,0
247,11,23,1,626,0,1,0,1,0,0
248,11,15,1,677,2,1,0,1,1,0
249,11,33,1,677,2,1,0,1,0,0
250,11,47,0,666,1,1,0,1,1,0
251,11,23,1,689,1,1,0,0,1,0
252,11,1,1,689,1,1,0,0,0,0
253,11,25,1,689,1,1,0,0,0,0
254,11,47,0,715,1,1,0,1,1,0
255,11,18,1,680,0,1,0,1,1,0
256,11,19,1,680,0,2,0,0,0,0
257,11,12,1,680,0,3,0,0,0,0
258,11,27,1,758,13,1,0,0,1,0
259,11,20,1,758,13,1,0,0,0,0
260,11,41,0,663,1,1,0,0,1,0
261,11,8,1,663,1,1,0,0,0,0
262,11,19,1,687,5,2,0,0,1,0
263,11,28,1,687,5,1,0,1,0,0
264,11,7,1,676,5,1,0,0,1,0
265,12,3,1,709,16,1,0,1,1,0
266,12,17,1,709,16,1,0,0,0,0
267,12,6,1,709,16,3,0,1,0,0
268,12,9,1,762,19,1,0,1,1,0
269,12,2,1,763,16,1,0,1,1,0
270,12,23,1,763,16,1,0,1,0,0
271,12,3,1,763,16,2,0,1,0,1
272,12,24,1,701,18,1,0,1,1,0
273,12,3,1,701,18,2,0,1,0,1
274,12,17,1,761,15,1,0,0,1,0
275,13,22,1,644,13,1,1,0,1,0
276,13,22,1,644,13,1,1,0,0,0
277,13,43,0,575,5,1,1,1,1,0
278,14,14,1,648,7,1,0,1,0,0
279,14,23,1,648,7,1,0,1,0,0
280,14,36,1,673,3,1,0,0,1,0
281,14,12,1,673,3,1,0,1,0,0
282,14,48,0,677,2,1,0,1,1,0
283,14,13,1,686,3,1,0,1,1,0
284,14,7,1,686,3,3,0,0,0,0
285,14,28,1,684,2,1,0,0,1,0
286,14,48,0,679,2,1,0,0,1,0
287,14,48,0,692,3,1,0,0,1,0
288,14,12,1,653,1,1,0,1,1,0
289,14,11,1,653,1,1,0,1,0,0
290,14,36,0,698,5,1,0,0,1,0
291,14,36,0,702,5,1,0,0,1,0
292,14,24,1,710,5,1,0,1,1,0
293,14,12,1,710,5,3,0,0,0,0
294,14,19,1,713,6,1,0,1,1,0
295,14,16,1,713,6,1,0,0,0,0
296,14,37,0,681,6,1,0,0,1,0
297,14,5,1,705,5,1,0,0,1,0
298,15,55,0,511,0,1,0,1,1,0
299,15,20,1,518,0,1,0,1,1,0
300,15,41,1,513,0,1,0,1,1,0
301,15,2,1,513,0,1,0,1,0,0
302,15,19,1,508,0,1,0,1,1,0
303,15,33,1,508,0,1,0,1,0,0
304,15,48,1,497,0,1,0,1,1,0
305,15,12,1,497,0,1,0,1,0,0
306,15,16,1,514,0,1,0,1,1,0
307,15,51,0,506,0,1,0,1,1,0
308,15,44,1,518,0,1,0,1,1,0
309,15,7,1,556,3,2,0,0,1,0
310,15,18,1,556,2,1,0,1,1,0
311,15,7,1,556,2,1,0,1,0,0
312,15,30,1,556,2,1,0,0,0,0
313,15,50,0,536,1,1,0,1,1,0
314,15,49,0,522,1,1,0,1,1,0
