vote,democrat,pcthispc,cope93,DemXCOPE
1,1,17,0,0
1,1,17,17,17
1,1,2,25,25
1,1,16,33,33
1,1,1,30,30
0,1,4,33,33
1,1,0,33,33
1,1,23,45,45
1,1,3,42,42
0,1,2,42,42
1,1,1,42,42
1,1,0,42,42
1,1,13,47,47
1,1,1,50,50
1,0,62,0,0
1,1,4,55,55
1,1,1,55,55
1,1,55,67,67
1,0,49,0,0
1,1,4,58,58
1,1,1,58,58
1,0,31,0,0
1,0,28,0,0
1,0,25,0,0
1,0,38,8,0
1,0,24,0,0
0,1,26,67,67
1,0,20,0,0
1,0,17,0,0
0,0,30,8,0
1,0,16,0,0
1,0,15,0,0
1,0,13,0,0
1,1,16,67,67
1,0,42,17,0
1,0,12,0,0
1,0,11,0,0
1,0,9,0,0
1,1,12,67,67
0,0,22,8,0
1,0,8,0,0
1,0,7,0,0
0,0,20,8,0
1,0,6,0,0
1,0,19,8,0
1,0,5,0,0
1,0,4,0,0
1,0,17,8,0
1,0,3,0,0
1,0,16,8,0
1,0,2,0,0
0,1,5,67,67
1,0,1,0,0
1,0,14,8,0
1,0,0,0,0
1,1,3,67,67
0,1,1,67,67
1,0,10,8,0
0,0,7,8,0
0,0,6,8,0
1,0,21,17,0
1,1,74,83,83
1,0,5,8,0
1,0,20,17,0
1,0,4,8,0
1,0,3,8,0
0,0,2,8,0
1,0,1,8,0
1,0,2,9,0
0,0,0,8,0
1,0,1,9,0
1,0,13,17,0
1,1,66,83,83
0,0,8,17,0
1,1,21,75,75
1,1,60,83,83
1,0,6,17,0
1,1,19,75,75
1,0,5,17,0
1,0,4,17,0
0,0,3,17,0
1,0,1,17,0
1,1,13,75,75
1,0,1,18,0
0,1,2,73,73
1,1,1,73,73
1,1,0,73,73
0,0,4,25,0
1,0,3,25,0
1,0,2,25,0
1,1,1,75,75
0,0,1,25,0
1,1,0,75,75
1,0,3,27,0
1,1,83,92,92
1,0,2,27,0
1,0,3,30,0
1,1,31,83,83
1,0,0,30,0
0,0,4,33,0
1,0,3,33,0
1,0,2,33,0
1,0,1,33,0
1,1,70,92,92
1,1,23,83,83
1,0,1,36,0
1,0,11,42,0
0,0,67,75,0
1,1,62,92,92
1,0,7,42,0
1,1,16,83,83
1,1,1,80,80
1,1,60,92,92
0,0,2,40,0
1,1,14,83,83
1,0,4,42,0
0,0,3,42,0
1,0,2,42,0
0,0,1,42,0
0,0,0,42,0
1,1,8,83,83
0,0,70,83,0
1,1,52,92,92
1,0,3,45,0
0,1,7,83,83
1,0,25,58,0
0,1,6,83,83
1,1,50,92,92
0,1,5,83,83
1,1,0,82,82
1,1,3,83,83
1,1,2,83,83
1,1,1,83,83
1,0,5,50,0
1,1,0,83,83
0,0,4,50,0
0,0,1,50,0
0,0,0,50,0
1,0,9,58,0
1,1,34,92,92
0,1,3,86,86
0,0,1,55,0
1,1,1,86,86
1,0,1,56,0
0,0,2,58,0
1,0,1,58,0
1,1,21,91,91
0,1,64,100,100
1,1,23,92,92
1,1,22,92,92
1,1,17,91,91
0,1,60,100,100
0,1,59,100,100
0,0,3,64,0
0,1,58,100,100
1,1,18,92,92
1,1,13,91,91
0,1,57,100,100
0,1,17,92,92
1,0,6,67,0
1,1,16,92,92
1,0,5,67,0
0,1,15,92,92
1,0,4,67,0
1,1,14,92,92
1,1,13,92,92
0,1,12,92,92
0,0,1,67,0
1,1,10,92,92
1,1,9,92,92
0,1,8,92,92
0,1,6,92,92
1,1,1,91,91
0,1,45,100,100
1,1,5,92,92
0,1,44,100,100
1,1,4,92,92
1,1,3,92,92
0,1,42,100,100
0,1,2,92,92
0,1,41,100,100
0,1,1,92,92
0,1,40,100,100
0,1,0,92,92
0,0,1,75,0
0,1,36,100,100
0,1,30,100,100
0,0,6,83,0
0,1,28,100,100
0,0,1,83,0
0,1,21,100,100
0,1,19,100,100
0,1,18,100,100
0,1,15,100,100
0,1,14,100,100
0,1,13,100,100
1,0,6,92,0
0,1,12,100,100
0,1,11,100,100
0,1,10,100,100
0,1,9,100,100
0,1,8,100,100
0,1,7,100,100
0,1,6,100,100
0,1,5,100,100
0,1,4,100,100
0,1,3,100,100
0,1,2,100,100
0,1,1,100,100
0,1,0,100,100
0,0,3,100,0
0,0,0,100,0
0,1,4,100,100
0,0,2,8,0
1,1,3,92,92
0,0,1,67,0
0,1,2,83,83
1,1,3,83,83
0,1,3,83,83
0,1,0,100,100
1,0,5,0,0
1,1,1,42,42
1,1,14,92,92
1,0,1,17,0
1,0,7,0,0
0,0,1,18,0
0,1,2,100,100
0,0,1,17,0
1,1,3,83,83
0,1,1,100,100
0,1,1,100,100
0,1,2,100,100
0,0,5,8,0
0,1,7,100,100
0,1,5,100,100
0,1,6,100,100
1,1,1,50,50
1,0,1,17,0
1,0,1,0,0
1,0,1,17,0
0,1,0,92,92
0,1,1,83,83
1,0,0,0,0
1,0,6,8,0
1,0,1,8,0
0,1,4,100,100
0,1,2,100,100
0,1,11,100,100
0,1,0,100,100
1,1,9,92,92
0,0,22,8,0
1,1,1,92,92
0,1,3,100,100
0,1,3,100,100
1,1,1,92,92
0,1,1,100,100
1,0,1,0,0
1,1,6,92,92
0,1,3,100,100
0,1,2,100,100
0,1,1,100,100
0,1,1,92,92
1,1,3,92,92
0,1,5,100,100
1,1,5,92,92
0,1,1,100,100
1,0,16,8,0
0,1,1,100,100
0,1,4,100,100
1,0,2,8,0
1,0,3,0,0
0,0,1,36,0
0,0,1,17,0
0,1,0,100,100
1,0,1,0,0
0,1,1,100,100
0,1,4,100,100
1,1,6,92,92
1,0,12,0,0
0,1,5,92,92
0,1,11,100,100
0,1,2,100,100
0,1,11,100,100
1,0,3,0,0
1,1,10,92,92
0,1,60,100,100
1,0,6,8,0
0,1,6,100,100
0,1,9,92,92
1,1,1,92,92
0,1,3,100,100
1,0,9,0,0
1,0,6,0,0
1,0,16,8,0
0,1,3,92,92
0,1,1,100,100
0,1,1,100,100
1,1,1,75,75
1,0,2,0,0
1,1,2,92,92
0,1,9,100,100
0,1,9,100,100
0,1,1,100,100
0,1,1,100,100
0,1,1,100,100
1,1,1,75,75
1,0,1,33,0
1,0,1,25,0
1,0,1,0,0
1,1,3,83,83
0,1,4,100,100
0,0,1,8,0
1,1,3,92,92
0,1,0,100,100
0,1,1,100,100
0,1,1,83,83
0,1,3,100,100
1,0,6,8,0
1,0,1,8,0
1,0,1,8,0
1,0,3,0,0
0,1,4,100,100
0,1,9,100,100
0,1,2,100,100
0,1,1,100,100
0,1,1,100,100
0,1,13,100,100
0,1,1,58,58
0,1,1,100,100
1,1,1,50,50
0,1,6,100,100
0,1,0,92,92
1,1,1,75,75
0,1,12,100,100
1,1,1,92,92
1,0,2,0,0
0,0,1,33,0
0,1,2,100,100
1,0,2,8,0
0,1,12,100,100
0,1,1,83,83
1,1,9,92,92
1,0,5,8,0
0,1,1,100,100
0,1,3,92,92
0,1,1,100,100
0,1,5,100,100
1,0,1,0,0
1,0,1,17,0
1,0,1,0,0
0,1,1,100,100
1,1,1,83,83
0,0,1,25,0
1,0,1,8,0
1,1,1,75,75
0,1,0,92,92
1,0,1,0,0
1,0,3,0,0
1,0,1,17,0
1,0,2,0,0
0,1,6,100,100
1,0,4,33,0
0,1,0,100,100
1,0,7,0,0
0,1,12,100,100
1,0,1,8,0
1,0,1,33,0
1,0,2,0,0
1,0,1,33,0
0,1,0,100,100
1,0,1,0,0
0,1,1,75,75
0,1,3,100,100
1,1,2,92,92
1,0,1,17,0
0,1,2,100,100
0,1,1,100,100
1,0,7,42,0
1,1,2,92,92
1,0,1,17,0
1,0,1,9,0
1,0,3,42,0
0,0,5,67,0
1,0,15,0,0
1,1,3,92,92
1,0,0,42,0
1,0,5,0,0
0,1,0,92,92
0,0,0,8,0
0,1,11,100,100
0,1,4,100,100
0,1,2,92,92
0,0,1,42,0
1,0,3,0,0
0,1,1,100,100
1,1,1,83,83
1,1,10,92,92
0,1,0,100,100
1,0,1,0,0
1,0,1,83,0
0,1,1,83,83
0,1,3,92,92
0,1,2,100,100
1,0,1,0,0
0,1,0,100,100
0,0,1,8,0
0,1,1,42,42
0,1,3,100,100
1,0,1,0,0
0,1,1,100,100
0,1,1,100,100
1,0,13,0,0
0,1,1,92,92
1,0,1,8,0
1,1,15,92,92
0,0,1,8,0
0,1,0,100,100
0,1,0,92,92
0,1,1,100,100
1,1,1,92,92
0,1,3,100,100
1,1,13,92,92
1,1,3,92,92
1,0,1,17,0
0,1,0,92,92
1,0,1,8,0
1,0,1,17,0
1,1,3,92,92
1,0,2,0,0
0,1,2,100,100
0,1,5,100,100
1,1,1,83,83
0,0,6,8,0
0,1,5,100,100
